,nome_variavel,tipo,qt_nulos,percent_nulos,cardinalidade
0,id,int64,0,0.0,32440
1,veiculos,int64,0,0.0,12
2,feridos,int64,0,0.0,28
3,ignorados,int64,0,0.0,10
4,ilesos,int64,0,0.0,43
5,feridos_graves,int64,0,0.0,14
6,feridos_leves,int64,0,0.0,24
7,mortos,int64,0,0.0,8
8,pessoas,int64,0,0.0,48
9,br,float64,78,0.24,114
10,regional,object,3,0.01,28
11,longitude,object,0,0.0,20401
12,latitude,object,0,0.0,20402
13,uso_solo,object,0,0.0,2
14,tracado_via,object,0,0.0,10
15,tipo_pista,object,0,0.0,3
16,condicao_metereologica,object,0,0.0,9
17,sentido_via,object,0,0.0,3
18,fase_dia,object,0,0.0,4
19,classificacao_acidente,object,0,0.0,3
20,tipo_acidente,object,0,0.0,16
21,causa_acidente,object,0,0.0,71
22,municipio,object,0,0.0,1705
23,km,object,78,0.24,6076
24,uf,object,0,0.0,27
25,horario,object,0,0.0,1307
26,dia_semana,object,0,0.0,7
27,data_inversa,object,0,0.0,181
28,delegacia,object,302,0.93,146
29,uop,object,18,0.06,392
